eeg_idx,fmri_idx,hemi,eeg_name,fmri_name
42,98,2,G_oc-temp_med-Parahip R,R G_oc-temp_med-Parahip
43,19,1,G_occipital_middle L,L G_occipital_middle
44,94,2,G_occipital_middle R,R G_occipital_middle
45,20,1,G_occipital_sup L,L G_occipital_sup
46,95,2,G_occipital_sup R,R G_occipital_sup
47,24,1,G_orbital L,L G_orbital
48,99,2,G_orbital R,R G_orbital
49,25,1,G_pariet_inf-Angular L,L G_pariet_inf-Angular
50,100,2,G_pariet_inf-Angular R,R G_pariet_inf-Angular
51,26,1,G_pariet_inf-Supramar L,L G_pariet_inf-Supramar
52,101,2,G_pariet_inf-Supramar R,R G_pariet_inf-Supramar
